Year,Position,Number,Draw,Name,Days-since-last-run,Previous-performances,Course-winner,Distance-winner,Odds(decimal),Form,Num-of-wins-in-last-3-starts,Result-last-start,Placed-Last-Time-Out,Won-Last-Time-Out,Age,Weight(pounds),Rating,Trainer,Jockey,Distances(lenghts),Going,Profitable
2018,18,11,11,Neufbosc (FR),21,CD,Yes,Yes,34,121123,1,3,Yes,No,3,124,112,Mme P Brandt,C Demuro,3.5,Good to Soft,0
2018,19,15,17,Louis D'Or (IRE),21,,No,No,151,303356,0,6,No,No,3,124,109,T Castanheira,A Hamelin,99,Good to Soft,0
2017,1,17,2,Enable,38,D,No,Yes,1.91,311111,3,1,Yes,Yes,3,121,126,J & T Gosden,L Dettori,0,Soft,1
2017,2,5,3,Cloth Of Stars (IRE),21,C,Yes,No,26,111112,2,2,Yes,No,4,131,,A Fabre,M Barzalona,,Soft,1
2017,3,4,1,Ulysses (IRE),39,D,No,Yes,10,413121,2,1,Yes,Yes,4,131,127,Sir Michael Stoute,Jim Crowley,,Soft,1
2017,4,12,9,Order Of St George (IRE),21,,No,No,9,421211,2,1,Yes,Yes,5,131,120,A P O'Brien,D O'Brien,,Soft,1
2017,5,14,4,Brametot (IRE),47,C,Yes,No,21,111115,2,5,No,No,3,124,,J C Rouget,C Demuro,,Soft,1
2017,6,1,18,Zarak (FR),91,D,No,Yes,29,225511,2,1,Yes,Yes,4,131,,A De Royer Dupre,C Soumillon,,Soft,1
2017,7,2,12,Doha Dream (FR),35,C,Yes,No,201,31522,0,2,Yes,No,4,131,,A Fabre,G Benoist,,Soft,0
2017,8,3,11,One Foot In Heaven (IRE),15,D,No,Yes,81,333722,0,2,Yes,No,5,131,113,A De Royer Dupre,James Doyle,,Soft,0
2017,9,6,16,Silverwave (FR),21,D,No,Yes,151,331225,0,5,No,No,5,131,,P Bary,P C Boudot,,Soft,0
2017,10,7,7,Idaho (IRE),36,BF,No,No,26,56136,1,6,No,No,4,131,121,A P O'Brien,J A Heffernan,,Soft,0
2017,11,8,10,Dschingis Secret (GER),21,D,No,Yes,15,511111,3,1,Yes,Yes,4,131,,Markus Klug,A de Vries,,Soft,0
2017,12,9,13,Satono Diamond (JPN),21,D,No,Yes,41,111134,1,4,No,No,4,131,,Y Ikee,C P Lemaire,,Soft,0
2017,13,10,5,Satono Noblesse (JPN),21,D,No,Yes,251,203006,0,6,No,No,7,131,,Y Ikee,Yuga Kawada,,Soft,0
2017,14,11,6,Iquitos (GER),28,D,No,Yes,101,221122,1,2,Yes,No,5,131,,H -J Graschel,A Starke,,Soft,0
2017,15,13,17,Seventh Heaven (IRE),21,D,No,Yes,51,154219,1,9,No,No,4,128,119,A P O'Brien,P J Smullen,,Soft,0
2017,16,15,15,Capri (IRE),15,D,No,Yes,21,343611,2,1,Yes,Yes,3,124,120,A P O'Brien,W M Lordan,,Soft,0
2017,17,16,14,Plumatic,15,,No,No,101,1202,0,2,Yes,No,3,124,,A Fabre,M Guyon,,Soft,0
2017,18,18,8,Winter (IRE),22,BF,No,No,10,211112,2,2,Yes,No,3,121,119,A P O'Brien,R L Moore,,Soft,0
2016,1,10,12,Found (IRE),22,D,No,Yes,7,122222,0,2,Yes,No,4,128,118,A P O'Brien,R L Moore,0,Good,1
2016,2,4,11,Highland Reel (IRE),22,D,No,Yes,21,482127,1,7,No,No,4,131,121,A P O'Brien,J A Heffernan,,Good,1
2016,3,8,16,Order Of St George (IRE),21,BF,No,No,15,111112,2,2,Yes,No,4,131,124,A P O'Brien,L Dettori,,Good,1
2016,4,9,3,Siljan's Saga (FR),35,C,Yes,No,101,48232,0,2,Yes,No,6,128,,J P Gauvin,P C Boudot,,Good,1
2016,5,1,8,New Bay,22,C,Yes,No,13,33614,1,4,No,No,4,131,121,A Fabre,V Cheminaud,,Good,1
2016,6,2,7,Postponed (IRE),46,D,No,Yes,2.88,111111,3,1,Yes,Yes,5,131,124,R Varian,Andrea Atzeni,,Good,0
2016,7,3,13,Migwar (IRE),23,D,No,Yes,101,32521,1,1,Yes,Yes,4,131,,F Head,O Peslier,,Good,0
2016,8,5,9,One Foot In Heaven (IRE),21,D,No,Yes,101,111164,1,4,No,No,4,131,,A De Royer Dupre,C Demuro,,Good,0
2016,9,6,2,The Grey Gatsby (IRE),46,C,Yes,No,51,236426,0,6,No,No,5,131,114,K A Ryan,James Doyle,,Good,0
2016,10,7,4,Silverwave (FR),21,D,No,Yes,17,723311,2,1,Yes,Yes,4,131,,P Bary,C Soumillon,,Good,0
2016,11,11,6,Harzand (IRE),22,BF,No,No,6.5,511118,2,8,No,No,3,123,123,D K Weld,P J Smullen,,Good,0
2016,12,12,1,Vedevani (FR),18,,No,No,251,44463,0,3,Yes,No,3,123,,A De Royer Dupre,A Badel,,Good,0
2016,13,13,5,Talismanic,18,D,No,Yes,41,214451,1,1,Yes,Yes,3,123,,A Fabre,M Barzalona,,Good,0
2016,14,14,14,Makahiki (JPN),21,D,No,Yes,7.5,11211,2,1,Yes,Yes,3,123,,Y Tomomichi,C P Lemaire,,Good,0
2016,15,15,10,Savoir Vivre (IRE),35,D,No,Yes,41,455221,1,1,Yes,Yes,3,123,,J Carvalho,F Tylicki,,Good,0
2016,16,16,15,Left Hand,21,CD,Yes,Yes,17,642211,2,1,Yes,Yes,3,120,,C Laffon-Parias,M Guyon,,Good,0
2015,1,16,14,Golden Horn,22,D,No,Yes,5.5,111121,2,1,Yes,Yes,3,123,130,J & T Gosden,L Dettori,0,Good,1
2015,2,1,11,Flintshire,36,D,No,Yes,21,22232,0,2,Yes,No,5,131,121,A Fabre,M Guyon,,Good,1
2015,3,13,5,New Bay,21,C,Yes,No,6,221111,3,1,Yes,Yes,3,123,,A Fabre,V Cheminaud,,Good,1
2015,4,9,8,Treve (FR),21,C,Yes,No,2,11111,3,1,Yes,Yes,5,128,130,Mme C Head-Maarek,T Jarnet,,Good,1
2015,5,2,3,Eagle Top,15,BF,No,No,34,144223,0,3,Yes,No,4,131,121,J & T Gosden,W Buick,,Good,1
2015,6,3,1,Manatee,98,D,No,Yes,67,44114,2,4,No,No,4,131,,A Fabre,M Barzalona,,Good,1
2015,7,5,10,Prince Gibraltar (FR),28,D,No,Yes,67,662231,1,1,Yes,Yes,4,131,,J C Rouget,F Veron,,Good,0
2015,8,6,18,Spiritjim (FR),21,C,Yes,No,101,644472,0,2,Yes,No,5,131,,A Couetil,Andrea Atzeni,,Good,0
2015,9,7,12,Free Eagle (IRE),22,,No,No,15,121313,1,3,Yes,No,4,131,123,D K Weld,P J Smullen,,Good,0
2015,10,8,13,Dolniya (FR),21,D,No,Yes,34,111234,0,4,No,No,4,128,,A De Royer Dupre,C Soumillon,,Good,0
2015,11,10,6,Frine (IRE),21,D,No,Yes,201,65334,0,4,No,No,5,128,,C Laffon-Parias,O Peslier,,Good,0
2015,12,11,7,Siljan's Saga (FR),35,D,No,Yes,151,855111,3,1,Yes,Yes,5,128,,J P Gauvin,P C Boudot,,Good,0
