Number,Rating,Num-of-wins-in-last-3-starts,Placed-Last-Time-Out,Won-Last-Time-Out,Odds(decimal),Result-last-start,Draw,Age,Course-winner,Profitable
12,112,1,No,No,13,6,9,3,No,0
14,109,1,Yes,Yes,9,1,11,3,No,0
15,107,0,No,No,26,5,5,3,Yes,0
2,111,0,No,No,17,4,2,5,No,0
7,111,1,No,No,9,7,4,3,No,0
9,112,3,Yes,Yes,12,1,13,3,No,0
8,110,0,No,No,11,4,15,3,Yes,0
6,100,1,No,No,67,7,8,4,No,0
10,107,2,No,No,23,8,1,3,Yes,0
2,118,2,Yes,Yes,3.75,1,14,4,Yes,1
13,118,1,Yes,No,2.5,2,4,3,No,1
7,111,2,Yes,Yes,19,1,1,4,No,1
8,114,3,Yes,Yes,5,1,9,3,No,1
5,110,2,Yes,No,9,2,7,4,No,0
9,109,1,No,No,12,5,10,3,No,0
1,106,0,No,No,51,9,6,4,No,0
14,95,2,Yes,Yes,151,1,5,3,No,0
3,104,2,Yes,Yes,67,1,2,4,No,0
6,104,1,No,No,81,6,11,5,No,0
10,81,1,No,No,251,5,8,3,No,0
4,109,1,No,No,34,5,3,4,No,0
5,,2,No,No,19,4,7,3,No,1
11,,0,No,No,17,5,12,3,No,1
3,,1,No,No,11,4,11,3,No,1
12,,0,Yes,No,13,3,4,3,No,1
8,,2,Yes,Yes,9,1,9,3,No,0
2,,0,Yes,No,7,2,1,4,No,0
1,,0,Yes,No,26,3,2,4,No,0
4,,0,No,No,8.5,8,8,3,No,0
9,,1,No,No,34,6,5,3,No,0
7,,1,Yes,No,2.37,2,3,3,No,0
6,,0,Yes,No,101,3,10,3,No,0
11,115,1,Yes,Yes,2.87,1,5,3,No,1
16,113,0,Yes,No,6,2,9,3,No,1
9,112,1,No,No,11,7,1,3,No,1
15,115,1,Yes,No,5.5,3,3,3,No,1
14,110,2,No,No,41,6,4,3,No,1
10,109,1,Yes,Yes,26,1,12,3,Yes,0
5,110,0,Yes,No,51,3,6,4,No,0
7,113,1,No,No,26,4,8,3,No,0
1,115,1,Yes,No,13,2,14,4,No,0
2,112,0,No,No,8,4,7,4,No,0
8,109,2,Yes,Yes,17,1,2,3,No,0
4,115,0,No,No,15,6,10,4,No,0
3,90,0,No,No,101,8,13,5,No,0
6,107,1,Yes,No,19,2,11,3,No,0
12,106,0,No,No,67,5,15,3,No,0
7,120,3,Yes,Yes,1.57,1,1,4,No,1
2,,1,Yes,Yes,101,1,10,7,No,1
4,113,0,No,No,11,4,9,4,No,1
10,108,0,No,No,17,6,12,7,Yes,0
11,107,0,Yes,No,26,3,11,5,No,0
3,117,3,Yes,Yes,4.33,1,2,5,Yes,0
5,,2,Yes,No,101,3,3,7,No,0
12,,0,No,No,101,8,7,6,No,0
1,93,2,Yes,Yes,51,1,6,6,No,0
8,,2,Yes,Yes,101,1,5,5,No,0
9,118,1,Yes,Yes,2.1,1,6,5,No,1
7,121,2,Yes,Yes,3.75,1,1,7,No,1
13,103,3,Yes,Yes,26,1,11,4,Yes,1
6,110,2,Yes,Yes,12,1,3,5,Yes,1
12,114,0,Yes,No,5,2,12,6,Yes,0
10,108,0,Yes,No,26,3,10,7,Yes,0
3,85,1,No,No,201,10,7,9,No,0
2,112,0,No,No,41,5,5,4,No,0
8,102,0,No,No,67,6,9,6,Yes,0
4,104,0,Yes,No,101,2,13,6,Yes,0
11,101,2,Yes,Yes,101,1,2,4,No,0
1,111,1,No,No,26,4,8,8,No,0
5,84,0,No,No,201,10,4,6,No,0
9,108,3,Yes,Yes,3.5,1,5,5,No,1
4,102,2,No,No,41,4,6,5,Yes,1
5,108,2,Yes,Yes,2.25,1,1,6,Yes,1
1,107,0,No,No,23,4,9,6,No,0
3,74,0,No,No,101,7,7,5,No,0
6,111,0,No,No,13,4,3,4,No,0
8,102,0,No,No,101,5,8,4,No,0
2,105,0,Yes,No,7,3,4,4,No,0
7,105,2,Yes,No,8,2,2,4,No,0
